name,ratings,ctype_and_loc,reviews,salaries
Havells,3.9,Electrical Equipment | Noida +263 other locations,4.5k,15.4k
Mahindra Logistics,3.7,Logistics | Mumbai +234 other locations,4.5k,12.9k
Dell,3.8,Consumer Electronics & Appliances | Bengaluru +118 other locations,4.5k,29k
R1 RCM,3.8,BPO | New Delhi +46 other locations,4.5k,22.2k
Intas Pharmaceuticals,4.1,Pharma | Ahmedabad +150 other locations,4.5k,17.3k
OPPO,3.9,Consumer Electronics & Appliances | Greater Noida +413 other locations,4.5k,11.8k
Tata AIA Life Insurance,3.9,Insurance | Mumbai +448 other locations,4.5k,14.3k
Hetero,3.9,Pharma | Hyderabad +70 other locations,4.5k,15.3k
Hyundai Motor India Limited,4.1,Automobile | Chennai +291 other locations,4.4k,14.2k
Deutsche Bank,3.8,Banking | Pune +42 other locations,4.4k,37.1k
Berger Paints,3.7,Chemicals | Kolkata +362 other locations,4.4k,10.7k
Motilal Oswal Financial Services,3.7,Financial Services | Mumbai +170 other locations,4.4k,13.1k
Lenskart,3.3,Internet | New Delhi +247 other locations,4.4k,13.3k
TeamLease Services,3.9,Recruitment | Bengaluru +401 other locations,4.3k,16.3k
VE Commercial Vehicles,3.9,Automobile | Indore +181 other locations,4.3k,14.1k
Thermax Limited,4.2,Industrial Machinery | Pune +256 other locations,4.2k,13.3k
Macleods Pharmaceuticals,3.7,Pharma | Mumbai +135 other locations,4.2k,15.6k
Jubilant Foods Works,3.7,Hospitality | Noida +264 other locations,4.2k,9.5k
Bajaj Auto,3.8,Automobile | Pune +321 other locations,4.2k,14.6k
Carelon Global Solutions,3.9,IT Services & Consulting | Bengaluru +21 other locations,4.2k,28.5k
Aakash Educational Services,3.2,Education & Training | New Delhi +249 other locations,4.2k,14k
Kogta Financial India Limited,4.7,NBFC | Jaipur +261 other locations,4.1k,1.9k
